;n;m;k;g1_1;g2_1;start_1;end_1;g1_2;g2_2;start_2;end_2
0;1000;2;1000;409.36800000000153;0;281001;281873;548.2399999999959;0;297001;297635
0;1000;2;2000;1115.9519999999936;0;280001;281873;1226.45599999998;0;296001;297635
0;1000;2;3000;1840.7599999999654;0;279001;281873;1775.311999999967;0;297001;297635
0;1000;2;4000;2341.791999999965;0;280001;281873;2458.455999999951;0;296001;297635
0;1000;2;5000;2962.26899999995;0;280001;281873;3074.4559999999365;0;295001;297635
0;1000;2;6000;5199.444000000122;0;276001;281873;3695.383999999922;0;294001;297635
0;1000;2;7000;4563.559999999907;0;280001;281873;4444.065999999903;0;294001;297635
0;1000;2;8000;5517.680999999904;0;280001;281873;4922.455999999893;0;296001;297635
0;1000;2;9000;7040.820000000079;0;279001;281873;5471.31199999988;0;297001;297635
0;1000;3;1000;183.61999999999833;0;281001;281873;542.9000000000092;0;297001;297635
0;1000;3;2000;855.2350000000521;0;280001;281873;1214.5099999999886;0;296001;297635
0;1000;3;3000;1820.0199999998897;0;279001;281873;1758.0199999998995;0;297001;297635
0;1000;3;4000;2069.1349999998965;0;280001;281873;2434.5099999999325;0;296001;297635
0;1000;3;5000;2683.127999999976;0;280001;281873;3044.51000000006;0;295001;297635
0;1000;3;6000;4907.928999999625;0;276001;281873;3659.390000000188;0;294001;297635
0;1000;3;7000;4229.899000000035;0;280001;281873;4387.728000000121;0;294001;297635
0;1000;3;8000;5123.533999999573;0;280001;281873;4874.509999999861;0;296001;297635
0;1000;3;9000;6728.558999998646;0;279001;281873;5418.019999999569;0;297001;297635
0;1000;4;1000;143.40000000000126;0;281001;281873;542.9000000000092;0;297001;297635
0;1000;4;2000;602.7659999999931;0;280001;281873;1214.5099999999886;0;296001;297635
0;1000;4;3000;1743.837999999913;0;279001;281873;1758.0199999998995;0;297001;297635
0;1000;4;4000;1816.6659999999604;0;280001;281873;2434.5099999999325;0;296001;297635
0;1000;4;5000;2430.38399999972;0;280001;281873;3044.51000000006;0;295001;297635
0;1000;4;6000;4819.12500000007;0;276001;281873;3659.390000000188;0;294001;297635
0;1000;4;7000;3954.230000000031;0;280001;281873;4379.578000000127;0;294001;297635
0;1000;4;8000;4827.51600000024;0;280001;281873;4874.509999999861;0;296001;297635
0;1000;4;9000;6563.572999999175;0;279001;281873;5418.019999999569;0;297001;297635
0;1000;5;1000;146.78000000000043;0;281001;281873;542.9000000000092;0;297001;297635
0;1000;5;2000;435.64000000001363;0;280001;281873;1214.5099999999886;0;296001;297635
0;1000;5;3000;1583.6119999999282;0;279001;281873;1758.0199999998995;0;297001;297635
0;1000;5;4000;1649.5399999999709;0;280001;281873;2434.5099999999325;0;296001;297635
0;1000;5;5000;2263.103999999788;0;280001;281873;3044.51000000006;0;295001;297635
0;1000;5;6000;4770.822000000015;0;276001;281873;3659.390000000188;0;294001;297635
0;1000;5;7000;3774.1120000001165;0;280001;281873;4375.01400000013;0;294001;297635
0;1000;5;8000;4636.239999999992;0;280001;281873;4874.509999999861;0;296001;297635
0;1000;5;9000;6355.043999999164;0;279001;281873;5418.019999999569;0;297001;297635
0;1000;6;1000;124.49699999999942;0;281001;281873;542.9000000000092;0;297001;297635
0;1000;6;2000;266.5150000000033;0;280001;281873;1214.5099999999886;0;296001;297635
0;1000;6;3000;1429.9819999999536;0;279001;281873;1758.0199999998995;0;297001;297635
0;1000;6;4000;1480.4149999999515;0;280001;281873;2434.5099999999325;0;296001;297635
0;1000;6;5000;2093.7809999999167;0;280001;281873;3044.51000000006;0;295001;297635
0;1000;6;6000;4708.398000000017;0;276001;281873;3659.390000000188;0;294001;297635
0;1000;6;7000;3588.2830000002364;0;280001;281873;4369.146000000131;0;294001;297635
0;1000;6;8000;4436.065000000301;0;280001;281873;4874.509999999861;0;296001;297635
0;1000;6;9000;6138.989999999251;0;279001;281873;5418.019999999569;0;297001;297635
0;1000;7;1000;101.4360000000007;0;281001;281873;542.9000000000092;0;297001;297635
0;1000;7;2000;107.45600000000073;0;280001;281873;1214.5099999999886;0;296001;297635
0;1000;7;3000;1277.4769999999778;0;279001;281873;1758.0199999998995;0;297001;297635
0;1000;7;4000;1318.9160000000004;0;280001;281873;2434.5099999999325;0;296001;297635
0;1000;7;5000;1931.8749999999;0;280001;281873;3044.51000000006;0;295001;297635
0;1000;7;6000;4580.081999999697;0;276001;281873;3656.3400000001875;0;294001;297635
0;1000;7;7000;3392.4480000000954;0;280001;281873;4352.814000000141;0;294001;297635
0;1000;7;8000;4210.741000000248;0;280001;281873;4871.459999999863;0;296001;297635
0;1000;7;9000;5858.168999999016;0;279001;281873;5414.969999999571;0;297001;297635
0;1000;8;1000;88.08399999999972;0;281001;281873;542.9000000000092;0;297001;297635
0;1000;8;2000;41.46299999999978;0;280001;281873;1214.5099999999886;0;296001;297635
0;1000;8;3000;1163.929999999997;0;279001;281873;1758.0199999998995;0;297001;297635
0;1000;8;4000;1198.0230000000206;0;280001;281873;2434.5099999999325;0;296001;297635
0;1000;8;5000;1810.3109999999203;0;280001;281873;3044.51000000006;0;295001;297635
0;1000;8;6000;4368.534000000297;0;276001;281873;3646.5800000001855;0;294001;297635
0;1000;8;7000;3214.947000000125;0;280001;281873;4322.558000000159;0;294001;297635
0;1000;8;8000;3984.623000000345;0;280001;281873;4861.699999999868;0;296001;297635
0;1000;8;9000;5533.073999999671;0;279001;281873;5405.209999999576;0;297001;297635
0;1000;9;1000;78.02299999999993;0;281001;281873;542.9000000000092;0;297001;297635
0;1000;9;2000;29.96899999999978;0;280001;281873;1214.5099999999886;0;296001;297635
0;1000;9;3000;979.7310000000188;0;279001;281873;1758.0199999998995;0;297001;297635
0;1000;9;4000;1009.6290000000054;0;280001;281873;2434.5099999999325;0;296001;297635
0;1000;9;5000;1621.454999999886;0;280001;281873;3044.51000000006;0;295001;297635
0;1000;9;6000;4222.878000000349;0;276001;281873;3631.3300000001823;0;294001;297635
0;1000;9;7000;2987.577000000062;0;280001;281873;4293.616000000172;0;294001;297635
0;1000;9;8000;3723.779000000204;0;280001;281873;4846.449999999876;0;296001;297635
0;1000;9;9000;5203.2189999998245;0;279001;281873;5389.959999999584;0;297001;297635
0;2000;2;1000;586.5240000000041;0;281001;281873;345.31999999999715;0;297001;297635
0;2000;2;2000;877.2359999999782;0;280001;281873;772.5080000000098;0;296001;297635
0;2000;2;3000;1160.1800000000035;0;279001;281873;1118.2160000000122;0;297001;297635
0;2000;2;4000;1649.3559999999993;0;280001;281873;1548.5079999999234;0;296001;297635
0;2000;2;5000;2041.3324999999188;0;280001;281873;1936.5079999998434;0;295001;297635
0;2000;2;6000;3729.7619999995977;0;276001;281873;2327.6119999997627;0;294001;297635
0;2000;2;7000;3148.271999999671;0;280001;281873;2833.4609999996587;0;294001;297635
0;2000;2;8000;3850.146499999553;0;280001;281873;3100.5079999996033;0;296001;297635
0;2000;2;9000;4890.329999999359;0;279001;281873;3446.215999999532;0;297001;297635
0;2000;3;1000;342.9005000000051;0;281001;281873;277.2349999999989;0;297001;297635
0;2000;3;2000;639.3340000000147;0;280001;281873;620.1965000000249;0;296001;297635
0;2000;3;3000;931.2205000000484;0;279001;281873;897.743000000046;0;297001;297635
0;2000;3;4000;1259.2190000000576;0;280001;281873;1243.196500000072;0;296001;297635
0;2000;3;5000;1575.0915000000816;0;280001;281873;1554.6965000000957;0;295001;297635
0;2000;3;6000;3242.3009999995843;0;276001;281873;1868.6885000001196;0;294001;297635
0;2000;3;7000;2559.4839999998185;0;280001;281873;2309.7734999999616;0;294001;297635
0;2000;3;8000;3184.97649999941;0;280001;281873;2489.1964999998445;0;296001;297635
0;2000;3;9000;4173.8329999989755;0;279001;281873;2766.742999999663;0;297001;297635
0;2000;4;1000;350.53950000000395;0;281001;281873;271.4500000000046;0;297001;297635
0;2000;4;2000;515.7540000000236;0;280001;281873;607.2549999999943;0;296001;297635
0;2000;4;3000;883.0399999999471;0;279001;281873;879.0099999999497;0;297001;297635
0;2000;4;4000;1122.7039999999213;0;280001;281873;1217.2549999999662;0;296001;297635
0;2000;4;5000;1431.8509999999637;0;280001;281873;1522.25500000003;0;295001;297635
0;2000;4;6000;3130.6844999995105;0;276001;281873;1829.695000000094;0;294001;297635
0;2000;4;7000;2384.5100000001084;0;280001;281873;2257.5970000000266;0;294001;297635
0;2000;4;8000;2986.928999999729;0;280001;281873;2437.2549999999305;0;296001;297635
0;2000;4;9000;4014.0294999990533;0;279001;281873;2709.0099999997847;0;297001;297635
0;2000;5;1000;291.04849999999755;0;281001;281873;271.4500000000046;0;297001;297635
0;2000;5;2000;368.27950000001505;0;280001;281873;607.2549999999943;0;296001;297635
