;n;m;k;g1_1;g2_1;start_1;end_1;g1_2;g2_2;start_2;end_2
0;1000;5;500;192.5420000000016;0;281501;281873;58.55999999999996;0;297501;297635
0;1000;5;1000;146.78000000000043;0;281001;281873;542.9000000000092;0;297001;297635
0;1000;5;1500;125.77400000000107;0;280501;281873;847.900000000016;0;297001;297635
0;1000;6;500;191.72500000000136;0;281501;281873;58.55999999999996;0;297501;297635
0;1000;6;1000;124.49699999999942;0;281001;281873;542.9000000000092;0;297001;297635
0;1000;6;1500;97.113999999999;0;280501;281873;847.900000000016;0;297001;297635
0;1000;7;500;188.6620000000012;0;281501;281873;58.55999999999996;0;297501;297635
0;1000;7;1000;101.4360000000007;0;281001;281873;542.9000000000092;0;297001;297635
0;1000;7;1500;79.6450000000008;0;280501;281873;847.900000000016;0;297001;297635
0;1000;8;500;183.8200000000012;0;281501;281873;58.55999999999996;0;297501;297635
0;1000;8;1000;88.08399999999972;0;281001;281873;542.9000000000092;0;297001;297635
0;1000;8;1500;66.05099999999949;0;280501;281873;847.900000000016;0;297001;297635
0;1000;9;500;177.596000000001;0;281501;281873;58.55999999999996;0;297501;297635
0;1000;9;1000;78.02299999999993;0;281001;281873;542.9000000000092;0;297001;297635
0;1000;9;1500;58.23400000000043;0;280501;281873;847.900000000016;0;297001;297635
0;1000;10;500;174.3070000000009;0;281501;281873;58.55999999999996;0;297501;297635
0;1000;10;1000;70.58499999999981;0;281001;281873;542.9000000000092;0;297001;297635
0;1000;10;1500;54.62000000000006;0;280501;281873;847.900000000016;0;297001;297635
0;1000;11;500;173.99000000000098;0;281501;281873;58.55999999999996;0;297501;297635
0;1000;11;1000;62.91199999999976;0;281001;281873;542.9000000000092;0;297001;297635
0;1000;11;1500;45.69199999999997;0;280501;281873;847.900000000016;0;297001;297635
0;1000;12;500;171.95100000000085;0;281501;281873;58.55999999999996;0;297501;297635
0;1000;12;1000;57.65400000000037;0;281001;281873;542.9000000000092;0;297001;297635
0;1000;12;1500;42.45900000000043;0;280501;281873;847.900000000016;0;297001;297635
0;1000;13;500;169.64000000000075;0;281501;281873;58.55999999999996;0;297501;297635
0;1000;13;1000;54.545999999999864;0;281001;281873;524.6000000000088;0;297001;297635
0;1000;13;1500;39.87600000000006;0;280501;281873;819.8400000000154;0;297001;297635
0;1000;14;500;167.6700000000008;0;281501;281873;58.55999999999996;0;297501;297635
0;1000;14;1000;49.60000000000025;0;281001;281873;373.3200000000054;0;297001;297635
0;1000;14;1500;35.78700000000025;0;280501;281873;558.7600000000095;0;297001;297635
0;1000;15;500;166.39400000000074;0;281501;281873;58.55999999999996;0;297501;297635
0;1000;15;1000;45.400000000000176;0;281001;281873;160.43000000000063;0;297001;297635
0;1000;15;1500;32.93300000000022;0;280501;281873;228.14000000000215;0;297001;297635
0;1000;16;500;165.1340000000007;0;281501;281873;58.55999999999996;0;297501;297635
0;1000;16;1000;43.30799999999977;0;281001;281873;32.329999999999984;0;297001;297635
0;1000;16;1500;31.067999999999817;0;280501;281873;33.54999999999998;0;297001;297635
0;1000;17;500;163.4050000000007;0;281501;281873;58.55999999999996;0;297501;297635
0;1000;17;1000;40.32400000000016;0;281001;281873;13.419999999999996;0;297001;297635
0;1000;17;1500;28.55799999999999;0;280501;281873;13.419999999999996;0;297001;297635
0;1000;18;500;162.9230000000007;0;281501;281873;58.55999999999996;0;297501;297635
0;1000;18;1000;37.48399999999979;0;281001;281873;12.199999999999998;0;297001;297635
0;1000;18;1500;26.432999999999737;0;280501;281873;12.199999999999998;0;297001;297635
0;1000;19;500;162.37900000000067;0;281501;281873;58.55999999999996;0;297501;297635
0;1000;19;1000;35.17800000000021;0;281001;281873;12.199999999999998;0;297001;297635
0;1000;19;1500;24.895000000000124;0;280501;281873;12.199999999999998;0;297001;297635
0;2000;5;500;140.3290000000016;0;281501;281873;29.27999999999998;0;297501;297635
0;2000;5;1000;291.04849999999755;0;281001;281873;271.4500000000046;0;297001;297635
0;2000;5;1500;310.6694999999977;0;280501;281873;423.950000000008;0;297001;297635
0;2000;6;500;133.70650000000165;0;281501;281873;29.27999999999998;0;297501;297635
0;2000;6;1000;244.3880000000033;0;281001;281873;271.4500000000046;0;297001;297635
0;2000;6;1500;261.608500000003;0;280501;281873;423.950000000008;0;297001;297635
0;2000;7;500;124.40700000000113;0;281501;281873;29.27999999999998;0;297501;297635
0;2000;7;1000;219.3775000000004;0;281001;281873;271.4500000000046;0;297001;297635
0;2000;7;1500;235.27350000000217;0;280501;281873;423.950000000008;0;297001;297635
0;2000;8;500;116.61550000000129;0;281501;281873;29.27999999999998;0;297501;297635
0;2000;8;1000;193.3465000000002;0;281001;281873;271.4500000000046;0;297001;297635
0;2000;8;1500;202.52400000000094;0;280501;281873;423.950000000008;0;297001;297635
0;2000;9;500;112.07650000000106;0;281501;281873;29.27999999999998;0;297501;297635
0;2000;9;1000;168.11999999999966;0;281001;281873;271.4500000000046;0;297001;297635
0;2000;9;1500;177.44950000000128;0;280501;281873;423.950000000008;0;297001;297635
0;2000;10;500;109.19100000000101;0;281501;281873;29.27999999999998;0;297501;297635
0;2000;10;1000;154.24850000000043;0;281001;281873;271.4500000000046;0;297001;297635
0;2000;10;1500;162.48050000000092;0;280501;281873;423.950000000008;0;297001;297635
0;2000;11;500;105.92750000000079;0;281501;281873;29.27999999999998;0;297501;297635
0;2000;11;1000;142.2614999999999;0;281001;281873;271.4500000000046;0;297001;297635
0;2000;11;1500;148.37149999999974;0;280501;281873;423.950000000008;0;297001;297635
0;2000;12;500;103.63050000000081;0;281501;281873;29.27999999999998;0;297501;297635
0;2000;12;1000;129.99650000000113;0;281001;281873;271.4500000000046;0;297001;297635
0;2000;12;1500;134.9930000000001;0;280501;281873;423.950000000008;0;297001;297635
0;2000;13;500;101.97450000000086;0;281501;281873;29.27999999999998;0;297501;297635
0;2000;13;1000;119.77199999999945;0;281001;281873;262.3000000000044;0;297001;297635
0;2000;13;1500;123.39899999999918;0;280501;281873;409.9200000000077;0;297001;297635
0;2000;14;500;99.71800000000087;0;281501;281873;29.27999999999998;0;297501;297635
0;2000;14;1000;112.28149999999981;0;281001;281873;186.6600000000027;0;297001;297635
0;2000;14;1500;115.5564999999996;0;280501;281873;279.38000000000477;0;297001;297635
0;2000;15;500;97.47000000000068;0;281501;281873;29.27999999999998;0;297501;297635
0;2000;15;1000;104.64149999999891;0;281001;281873;80.21500000000032;0;297001;297635
0;2000;15;1500;108.51199999999793;0;280501;281873;114.07000000000107;0;297001;297635
0;2000;16;500;96.40400000000072;0;281501;281873;29.27999999999998;0;297501;297635
0;2000;16;1000;98.65500000000046;0;281001;281873;16.164999999999992;0;297001;297635
0;2000;16;1500;100.71550000000056;0;280501;281873;16.77499999999999;0;297001;297635
0;2000;17;500;94.89550000000064;0;281501;281873;29.27999999999998;0;297501;297635
0;2000;17;1000;92.59999999999982;0;281001;281873;6.709999999999998;0;297001;297635
0;2000;17;1500;94.14150000000011;0;280501;281873;6.709999999999998;0;297001;297635
0;2000;18;500;93.92950000000067;0;281501;281873;29.27999999999998;0;297501;297635
0;2000;18;1000;87.60400000000054;0;281001;281873;6.099999999999999;0;297001;297635
0;2000;18;1500;89.81000000000068;0;280501;281873;6.099999999999999;0;297001;297635
0;2000;19;500;93.05450000000053;0;281501;281873;29.27999999999998;0;297501;297635
0;2000;19;1000;83.10850000000022;0;281001;281873;6.099999999999999;0;297001;297635
0;2000;19;1500;83.90600000000012;0;280501;281873;6.099999999999999;0;297001;297635
0;3000;5;500;105.14933333333227;0;281501;281873;103.1266666666656;0;297501;297635
0;3000;5;1000;271.0936666666696;0;281001;281873;206.4600000000027;0;297001;297635
0;3000;5;1500;366.5316666666707;0;280501;281873;309.79333333333415;0;297001;297635
0;3000;6;500;97.22999999999907;0;281501;281873;103.1266666666656;0;297501;297635
0;3000;6;1000;227.66099999999872;0;281001;281873;206.4600000000027;0;297001;297635
0;3000;6;1500;304.76399999999484;0;280501;281873;309.79333333333415;0;297001;297635
0;3000;7;500;89.72833333333242;0;281501;281873;103.1266666666656;0;297501;297635
0;3000;7;1000;205.0520000000043;0;281001;281873;206.4600000000027;0;297001;297635
0;3000;7;1500;270.62266666667375;0;280501;281873;309.79333333333415;0;297001;297635
0;3000;8;500;83.52833333333261;0;281501;281873;103.1266666666656;0;297501;297635
0;3000;8;1000;180.195999999998;0;281001;281873;206.4600000000027;0;297001;297635
0;3000;8;1500;255.8543333333318;0;280501;281873;309.79333333333415;0;297001;297635
0;3000;9;500;79.48533333333253;0;281501;281873;103.1266666666656;0;297501;297635
0;3000;9;1000;156.38366666666673;0;281001;281873;206.4600000000027;0;297001;297635
0;3000;9;1500;220.20866666666817;0;280501;281873;309.79333333333415;0;297001;297635
0;3000;10;500;77.07466666666598;0;281501;281873;103.1266666666656;0;297501;297635
0;3000;10;1000;144.15933333333425;0;281001;281873;206.4600000000027;0;297001;297635
0;3000;10;1500;194.32400000000135;0;280501;281873;309.79333333333415;0;297001;297635
0;3000;11;500;74.31833333333272;0;281501;281873;103.1266666666656;0;297501;297635
0;3000;11;1000;131.90899999999894;0;281001;281873;206.4600000000027;0;297001;297635
0;3000;11;1500;189.16100000000074;0;280501;281873;309.79333333333415;0;297001;297635
0;3000;12;500;72.12933333333278;0;281501;281873;103.1266666666656;0;297501;297635
0;3000;12;1000;120.9503333333335;0;281001;281873;206.4600000000027;0;297001;297635
0;3000;12;1500;175.85166666666754;0;280501;281873;309.79333333333415;0;297001;297635
0;3000;13;500;71.08666666666605;0;281501;281873;103.1266666666656;0;297501;297635
0;3000;13;1000;110.88233333333432;0;281001;281873;194.06000000000205;0;297001;297635
0;3000;13;1500;156.87266666666818;0;280501;281873;288.9200000000026;0;297001;297635
0;3000;14;500;69.37833333333272;0;281501;281873;103.1266666666656;0;297501;297635
0;3000;14;1000;104.85899999999975;0;281001;281873;127.71999999999855;0;297001;297635
0;3000;14;1500;144.46666666666613;0;280501;281873;181.24666666666803;0;297001;297635
0;3000;15;500;67.69066666666612;0;281501;281873;103.1266666666656;0;297501;297635
0;3000;15;1000;97.81466666666715;0;281001;281873;60.75999999999959;0;297001;297635
0;3000;15;1500;144.0536666666659;0;280501;281873;74.19333333333272;0;297001;297635
0;3000;16;500;66.71699999999954;0;281501;281873;103.1266666666656;0;297501;297635
0;3000;16;1000;91.6596666666663;0;281001;281873;28.93333333333337;0;297001;297635
0;3000;16;1500;134.174333333334;0;280501;281873;29.140000000000036;0;297001;297635
0;3000;17;500;65.47566666666614;0;281501;281873;103.1266666666656;0;297501;297635
0;3000;17;1000;85.9343333333329;0;281001;281873;26.8666666666667;0;297001;297635
0;3000;17;1500;121.25499999999994;0;280501;281873;26.8666666666667;0;297001;297635
0;3000;18;500;64.60099999999949;0;281501;281873;103.1266666666656;0;297501;297635
0;3000;18;1000;81.30900000000008;0;281001;281873;26.660000000000032;0;297001;297635
0;3000;18;1500;118.59300000000192;0;280501;281873;26.660000000000032;0;297001;297635
0;3000;19;500;63.94966666666624;0;281501;281873;103.1266666666656;0;297501;297635
0;3000;19;1000;77.75366666666623;0;281001;281873;26.660000000000032;0;297001;297635
0;3000;19;1500;115.40533333333195;0;280501;281873;26.660000000000032;0;297001;297635
