;n;m;k;g1_1;g2_1;start_1;end_1;g1_2;g2_2;start_2;end_2
0;1000;2;1000;409.36800000000153;0;281001;281873;548.2399999999959;0;297001;297635
0;1000;3;1000;183.61999999999833;0;281001;281873;542.9000000000092;0;297001;297635
0;1000;4;1000;143.40000000000126;0;281001;281873;542.9000000000092;0;297001;297635
0;1000;5;1000;146.78000000000043;0;281001;281873;542.9000000000092;0;297001;297635
0;1000;6;1000;124.49699999999942;0;281001;281873;542.9000000000092;0;297001;297635
0;1000;7;1000;101.4360000000007;0;281001;281873;542.9000000000092;0;297001;297635
0;1000;8;1000;88.08399999999972;0;281001;281873;542.9000000000092;0;297001;297635
0;1000;9;1000;78.02299999999993;0;281001;281873;542.9000000000092;0;297001;297635
