;n;m;k;g1_1;g2_1;start_1;end_1;g1_2;g2_2;start_2;end_2
0;1000;333;500;0.001;0.011000000000000003;0;500;0.0;3.025;5001;5500
0;1000;333;1000;0.001;0.017000000000000008;0;1000;0.0;38.719999999999985;5001;6000
0;1000;333;1500;0.001;0.028000000000000018;0;1500;0.0;38.719999999999985;4501;6000
0;1000;333;2000;0.001;0.035000000000000024;0;2000;0.0;38.719999999999985;4001;6000
0;1000;333;2500;0.001;0.04400000000000003;0;2500;0.0;62.92399999999986;5001;7500
0;1000;333;3000;0.001;0.048000000000000036;0;3000;0.0;38.719999999999985;3001;6000
0;1000;333;3500;0.001;0.05500000000000004;0;3500;0.0;62.92399999999986;3501;7000
0;1000;333;4000;0.001;0.06600000000000004;0;4000;0.0;62.92399999999986;4001;8000
0;1000;333;4500;0.001;0.07100000000000005;0;4500;0.0;62.92399999999986;4501;9000
0;1000;333;5000;0.001;0.07800000000000006;0;5000;0.0;62.92399999999986;5001;10000
0;1000;333;5500;0.001;0.08600000000000006;0;5500;0.0;3.025;0;5500
0;1000;333;6000;0.001;0.09400000000000007;0;6000;0.0;38.719999999999985;0;6000
0;1000;333;6500;0.001;0.10200000000000008;0;6500;0.0;62.92399999999986;0;6500
0;1000;333;7000;0.001;0.10900000000000008;0;7000;0.0;62.92399999999986;0;7000
0;1000;333;7500;0.001;0.12000000000000009;0;7500;0.0;62.92399999999986;0;7500
0;1000;333;8000;0.001;0.1300000000000001;0;8000;0.0;62.92399999999986;0;8000
0;1000;333;8500;0.001;0.1400000000000001;0;8500;0.0;62.92399999999986;0;8500
0;1000;333;9000;0.001;0.1490000000000001;0;9000;0.0;62.92399999999986;0;9000
0;1000;333;9500;0.001;0.1560000000000001;0;9500;0.0;62.92399999999986;0;9500
0;1000;334;500;0.001;0.011000000000000003;0;500;0.0;3.025;5001;5500
0;1000;334;1000;0.001;0.016000000000000007;0;1000;0.0;38.719999999999985;5001;6000
0;1000;334;1500;0.001;0.026000000000000016;0;1500;0.0;38.719999999999985;4501;6000
0;1000;334;2000;0.001;0.03300000000000002;0;2000;0.0;38.719999999999985;4001;6000
0;1000;334;2500;0.001;0.04200000000000003;0;2500;0.0;62.92399999999986;5001;7500
0;1000;334;3000;0.001;0.046000000000000034;0;3000;0.0;38.719999999999985;3001;6000
0;1000;334;3500;0.001;0.05200000000000004;0;3500;0.0;62.92399999999986;3501;7000
0;1000;334;4000;0.001;0.060000000000000046;0;4000;0.0;62.92399999999986;4001;8000
0;1000;334;4500;0.001;0.06400000000000004;0;4500;0.0;62.92399999999986;4501;9000
0;1000;334;5000;0.001;0.06900000000000005;0;5000;0.0;62.92399999999986;5001;10000
0;1000;334;5500;0.001;0.07700000000000005;0;5500;0.0;3.025;0;5500
0;1000;334;6000;0.001;0.08500000000000006;0;6000;0.0;38.719999999999985;0;6000
0;1000;334;6500;0.001;0.09200000000000007;0;6500;0.0;62.92399999999986;0;6500
0;1000;334;7000;0.001;0.09900000000000007;0;7000;0.0;62.92399999999986;0;7000
0;1000;334;7500;0.001;0.10800000000000008;0;7500;0.0;62.92399999999986;0;7500
0;1000;334;8000;0.001;0.11800000000000009;0;8000;0.0;62.92399999999986;0;8000
0;1000;334;8500;0.001;0.12700000000000009;0;8500;0.0;62.92399999999986;0;8500
0;1000;334;9000;0.001;0.1340000000000001;0;9000;0.0;62.92399999999986;0;9000
0;1000;334;9500;0.001;0.1410000000000001;0;9500;0.0;62.92399999999986;0;9500
0;1000;335;500;0.001;0.010000000000000002;0;500;0.0;3.025;5001;5500
0;1000;335;1000;0.001;0.014000000000000005;0;1000;0.0;38.719999999999985;5001;6000
0;1000;335;1500;0.001;0.023000000000000013;0;1500;0.0;38.719999999999985;4501;6000
0;1000;335;2000;0.001;0.028000000000000018;0;2000;0.0;38.719999999999985;4001;6000
0;1000;335;2500;0.001;0.035000000000000024;0;2500;0.0;62.92399999999986;5001;7500
0;1000;335;3000;0.001;0.03900000000000003;0;3000;0.0;38.719999999999985;3001;6000
0;1000;335;3500;0.001;0.04500000000000003;0;3500;0.0;62.92399999999986;3501;7000
0;1000;335;4000;0.001;0.05300000000000004;0;4000;0.0;62.92399999999986;4001;8000
0;1000;335;4500;0.001;0.057000000000000044;0;4500;0.0;62.92399999999986;4501;9000
0;1000;335;5000;0.001;0.06200000000000005;0;5000;0.0;62.92399999999986;5001;10000
0;1000;335;5500;0.001;0.06900000000000005;0;5500;0.0;3.025;0;5500
0;1000;335;6000;0.001;0.07600000000000005;0;6000;0.0;38.719999999999985;0;6000
0;1000;335;6500;0.001;0.08100000000000006;0;6500;0.0;62.92399999999986;0;6500
0;1000;335;7000;0.001;0.08800000000000006;0;7000;0.0;62.92399999999986;0;7000
0;1000;335;7500;0.001;0.09500000000000007;0;7500;0.0;62.92399999999986;0;7500
0;1000;335;8000;0.001;0.10400000000000008;0;8000;0.0;62.92399999999986;0;8000
0;1000;335;8500;0.001;0.11200000000000009;0;8500;0.0;62.92399999999986;0;8500
0;1000;335;9000;0.001;0.11800000000000009;0;9000;0.0;62.92399999999986;0;9000
0;1000;335;9500;0.001;0.1240000000000001;0;9500;0.0;62.92399999999986;0;9500
0;1000;336;500;0.001;0.010000000000000002;0;500;0.0;3.025;5001;5500
0;1000;336;1000;0.001;0.014000000000000005;0;1000;0.0;38.719999999999985;5001;6000
0;1000;336;1500;0.001;0.02100000000000001;0;1500;0.0;38.719999999999985;4501;6000
0;1000;336;2000;0.001;0.026000000000000016;0;2000;0.0;38.719999999999985;4001;6000
0;1000;336;2500;0.001;0.03000000000000002;0;2500;0.0;62.92399999999986;5001;7500
0;1000;336;3000;0.001;0.03400000000000002;0;3000;0.0;38.719999999999985;3001;6000
0;1000;336;3500;0.001;0.04000000000000003;0;3500;0.0;62.92399999999986;3501;7000
0;1000;336;4000;0.001;0.048000000000000036;0;4000;0.0;62.92399999999986;4001;8000
0;1000;336;4500;0.001;0.05200000000000004;0;4500;0.0;62.92399999999986;4501;9000
0;1000;336;5000;0.001;0.057000000000000044;0;5000;0.0;62.92399999999986;5001;10000
0;1000;336;5500;0.001;0.06400000000000004;0;5500;0.0;3.025;0;5500
0;1000;336;6000;0.001;0.06900000000000005;0;6000;0.0;38.719999999999985;0;6000
0;1000;336;6500;0.001;0.07300000000000005;0;6500;0.0;62.92399999999986;0;6500
0;1000;336;7000;0.001;0.08000000000000006;0;7000;0.0;62.92399999999986;0;7000
0;1000;336;7500;0.001;0.08700000000000006;0;7500;0.0;62.92399999999986;0;7500
0;1000;336;8000;0.001;0.09500000000000007;0;8000;0.0;62.92399999999986;0;8000
0;1000;336;8500;0.001;0.10200000000000008;0;8500;0.0;62.92399999999986;0;8500
0;1000;336;9000;0.001;0.10800000000000008;0;9000;0.0;62.92399999999986;0;9000
0;1000;336;9500;0.001;0.11400000000000009;0;9500;0.0;62.92399999999986;0;9500
0;1000;337;500;0.001;0.010000000000000002;0;500;0.0;3.025;5001;5500
0;1000;337;1000;0.001;0.014000000000000005;0;1000;0.0;38.719999999999985;5001;6000
0;1000;337;1500;0.001;0.02100000000000001;0;1500;0.0;38.719999999999985;4501;6000
0;1000;337;2000;0.001;0.026000000000000016;0;2000;0.0;38.719999999999985;4001;6000
0;1000;337;2500;0.001;0.03000000000000002;0;2500;0.0;62.92399999999986;5001;7500
0;1000;337;3000;0.001;0.03300000000000002;0;3000;0.0;38.719999999999985;3001;6000
0;1000;337;3500;0.001;0.03900000000000003;0;3500;0.0;62.92399999999986;3501;7000
0;1000;337;4000;0.001;0.046000000000000034;0;4000;0.0;62.92399999999986;4001;8000
0;1000;337;4500;0.001;0.05000000000000004;0;4500;0.0;62.92399999999986;4501;9000
0;1000;337;5000;0.001;0.05500000000000004;0;5000;0.0;62.92399999999986;5001;10000
0;1000;337;5500;0.001;0.06200000000000005;0;5500;0.0;3.025;0;5500
0;1000;337;6000;0.001;0.06600000000000004;0;6000;0.0;38.719999999999985;0;6000
0;1000;337;6500;0.001;0.07000000000000005;0;6500;0.0;62.92399999999986;0;6500
0;1000;337;7000;0.001;0.07600000000000005;0;7000;0.0;62.92399999999986;0;7000
0;1000;337;7500;0.001;0.08300000000000006;0;7500;0.0;62.92399999999986;0;7500
0;1000;337;8000;0.001;0.09100000000000007;0;8000;0.0;62.92399999999986;0;8000
0;1000;337;8500;0.001;0.09800000000000007;0;8500;0.0;62.92399999999986;0;8500
0;1000;337;9000;0.001;0.10200000000000008;0;9000;0.0;62.92399999999986;0;9000
0;1000;337;9500;0.001;0.10600000000000008;0;9500;0.0;62.92399999999986;0;9500
0;1000;338;500;0.001;0.010000000000000002;0;500;0.0;3.025;5001;5500
0;1000;338;1000;0.001;0.014000000000000005;0;1000;0.0;38.719999999999985;5001;6000
0;1000;338;1500;0.001;0.02100000000000001;0;1500;0.0;38.719999999999985;4501;6000
0;1000;338;2000;0.001;0.026000000000000016;0;2000;0.0;38.719999999999985;4001;6000
0;1000;338;2500;0.001;0.02900000000000002;0;2500;0.0;62.92399999999986;5001;7500
0;1000;338;3000;0.001;0.03200000000000002;0;3000;0.0;38.719999999999985;3001;6000
0;1000;338;3500;0.001;0.036000000000000025;0;3500;0.0;62.92399999999986;3501;7000
0;1000;338;4000;0.001;0.04300000000000003;0;4000;0.0;62.92399999999986;4001;8000
0;1000;338;4500;0.001;0.047000000000000035;0;4500;0.0;62.92399999999986;4501;9000
0;1000;338;5000;0.001;0.05200000000000004;0;5000;0.0;62.92399999999986;5001;10000
0;1000;338;5500;0.001;0.057000000000000044;0;5500;0.0;3.025;0;5500
0;1000;338;6000;0.001;0.06100000000000005;0;6000;0.0;38.719999999999985;0;6000
0;1000;338;6500;0.001;0.06500000000000004;0;6500;0.0;62.92399999999986;0;6500
0;1000;338;7000;0.001;0.07100000000000005;0;7000;0.0;62.92399999999986;0;7000
0;1000;338;7500;0.001;0.07800000000000006;0;7500;0.0;62.92399999999986;0;7500
0;1000;338;8000;0.001;0.08500000000000006;0;8000;0.0;62.92399999999986;0;8000
0;1000;338;8500;0.001;0.09200000000000007;0;8500;0.0;62.92399999999986;0;8500
0;1000;338;9000;0.001;0.09600000000000007;0;9000;0.0;62.92399999999986;0;9000
